gold_label	English	German	Spanish	Swahili	Urdu	pairID
contradiction	entailment	entailment	entailment	entailment	entailment	167
entailment	neutral	neutral	neutral	neutral	contradiction	168
contradiction	entailment	entailment	entailment	entailment	entailment	175
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	176
entailment	neutral	neutral	neutral	contradiction	neutral	177
entailment	contradiction	contradiction	contradiction	entailment	entailment	178
contradiction	entailment	entailment	entailment	entailment	entailment	179
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	180
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	181
entailment	neutral	neutral	neutral	contradiction	contradiction	182
contradiction	entailment	entailment	entailment	neutral	contradiction	183
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	184
entailment	neutral	neutral	neutral	neutral	contradiction	185
contradiction	entailment	entailment	entailment	entailment	contradiction	186
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	196
contradiction	entailment	entailment	entailment	entailment	entailment	197
entailment	neutral	neutral	neutral	neutral	contradiction	198
contradiction	entailment	entailment	entailment	entailment	entailment	199
entailment	contradiction	entailment	contradiction	entailment	entailment	200
neutral	contradiction	contradiction	contradiction	contradiction	entailment	201
neutral	contradiction	contradiction	contradiction	contradiction	entailment	202
contradiction	entailment	entailment	entailment	entailment	contradiction	203
entailment	neutral	neutral	neutral	entailment	contradiction	204
contradiction	entailment	entailment	entailment	contradiction	entailment	205
entailment	neutral	neutral	neutral	contradiction	contradiction	206
neutral	entailment	contradiction	contradiction	contradiction	contradiction	207
entailment	contradiction	contradiction	contradiction	entailment	entailment	208
neutral	contradiction	contradiction	contradiction	entailment	contradiction	209
contradiction	entailment	entailment	entailment	entailment	entailment	210
contradiction	entailment	entailment	entailment	entailment	entailment	211
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	212
entailment	contradiction	contradiction	contradiction	contradiction	contradiction	213
contradiction	entailment	entailment	entailment	entailment	entailment	214
entailment	neutral	entailment	neutral	neutral	contradiction	215
neutral	contradiction	contradiction	contradiction	entailment	contradiction	216
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	217
contradiction	entailment	entailment	entailment	entailment	entailment	218
entailment	neutral	neutral	neutral	neutral	entailment	219
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	235
entailment	contradiction	neutral	contradiction	contradiction	contradiction	236
contradiction	entailment	entailment	entailment	entailment	entailment	237
contradiction	entailment	contradiction	entailment	entailment	entailment	238
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	239
entailment	neutral	entailment	neutral	contradiction	contradiction	240
contradiction	entailment	entailment	entailment	entailment	entailment	241
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	242
entailment	neutral	contradiction	neutral	contradiction	contradiction	243
contradiction	entailment	entailment	entailment	neutral	contradiction	244
entailment	neutral	neutral	neutral	entailment	neutral	245
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	246
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	247
entailment	neutral	neutral	neutral	contradiction	contradiction	248
contradiction	entailment	entailment	entailment	contradiction	entailment	249
contradiction	entailment	entailment	contradiction	contradiction	entailment	253
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	254
entailment	contradiction	contradiction	neutral	contradiction	contradiction	255
contradiction	entailment	entailment	entailment	entailment	entailment	256
neutral	contradiction	contradiction	entailment	contradiction	entailment	257
entailment	neutral	neutral	contradiction	contradiction	entailment	258
entailment	neutral	neutral	neutral	neutral	contradiction	259
contradiction	entailment	entailment	entailment	entailment	entailment	260
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	261
contradiction	entailment	entailment	entailment	contradiction	entailment	262
neutral	neutral	neutral	contradiction	entailment	contradiction	263
entailment	neutral	neutral	neutral	contradiction	contradiction	264
neutral	contradiction	contradiction	contradiction	contradiction	entailment	268
entailment	neutral	neutral	neutral	neutral	entailment	269
contradiction	entailment	entailment	entailment	entailment	entailment	270
contradiction	entailment	entailment	entailment	entailment	entailment	271
neutral	contradiction	entailment	contradiction	entailment	entailment	272
entailment	neutral	neutral	neutral	neutral	entailment	273
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	274
entailment	neutral	neutral	neutral	neutral	contradiction	275
contradiction	entailment	entailment	entailment	entailment	entailment	276
contradiction	entailment	entailment	entailment	contradiction	contradiction	277
entailment	neutral	neutral	contradiction	contradiction	contradiction	278
neutral	contradiction	contradiction	entailment	contradiction	contradiction	279
entailment	neutral	neutral	neutral	neutral	contradiction	283
neutral	contradiction	contradiction	contradiction	entailment	contradiction	284
contradiction	entailment	entailment	entailment	entailment	entailment	285
entailment	neutral	neutral	neutral	entailment	entailment	292
neutral	contradiction	neutral	contradiction	entailment	contradiction	293
contradiction	entailment	entailment	entailment	entailment	entailment	294
entailment	neutral	neutral	neutral	neutral	contradiction	295
contradiction	entailment	entailment	entailment	entailment	entailment	296
neutral	contradiction	contradiction	contradiction	contradiction	entailment	297
entailment	contradiction	contradiction	contradiction	contradiction	entailment	298
contradiction	entailment	entailment	entailment	entailment	entailment	299
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	300
neutral	contradiction	contradiction	contradiction	contradiction	entailment	301
entailment	neutral	neutral	entailment	contradiction	contradiction	302
contradiction	entailment	entailment	entailment	entailment	entailment	303
contradiction	entailment	entailment	entailment	entailment	entailment	304
neutral	contradiction	entailment	contradiction	contradiction	contradiction	305
entailment	neutral	neutral	neutral	contradiction	contradiction	306
contradiction	entailment	entailment	entailment	entailment	entailment	307
entailment	neutral	neutral	neutral	contradiction	contradiction	308
neutral	contradiction	contradiction	contradiction	contradiction	entailment	309
contradiction	entailment	entailment	entailment	entailment	entailment	310
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	311
entailment	neutral	neutral	neutral	neutral	contradiction	312
contradiction	entailment	entailment	entailment	entailment	entailment	313
entailment	neutral	neutral	neutral	entailment	entailment	314
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	315
contradiction	entailment	entailment	entailment	entailment	entailment	319
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	320
entailment	neutral	neutral	neutral	neutral	neutral	321
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	322
contradiction	entailment	entailment	entailment	entailment	entailment	323
entailment	neutral	neutral	neutral	contradiction	contradiction	324
contradiction	entailment	entailment	entailment	entailment	contradiction	331
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	332
entailment	neutral	neutral	contradiction	neutral	contradiction	333
contradiction	entailment	entailment	entailment	entailment	contradiction	334
neutral	contradiction	contradiction	contradiction	contradiction	entailment	335
entailment	neutral	neutral	entailment	entailment	entailment	336
entailment	neutral	neutral	neutral	neutral	neutral	337
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	338
contradiction	entailment	entailment	entailment	entailment	entailment	339
contradiction	entailment	entailment	entailment	entailment	contradiction	340
entailment	neutral	neutral	neutral	neutral	entailment	341
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	342
contradiction	entailment	entailment	entailment	entailment	entailment	343
entailment	neutral	neutral	neutral	neutral	entailment	344
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	345
contradiction	entailment	contradiction	contradiction	contradiction	contradiction	352
entailment	neutral	neutral	contradiction	neutral	entailment	353
neutral	contradiction	neutral	contradiction	contradiction	entailment	354
contradiction	contradiction	neutral	entailment	entailment	entailment	355
entailment	neutral	neutral	neutral	contradiction	entailment	356
neutral	contradiction	contradiction	entailment	entailment	entailment	357
neutral	contradiction	contradiction	contradiction	contradiction	entailment	358
entailment	contradiction	neutral	contradiction	neutral	entailment	359
contradiction	entailment	entailment	entailment	entailment	entailment	360
contradiction	entailment	contradiction	entailment	contradiction	entailment	367
entailment	neutral	neutral	neutral	entailment	contradiction	368
neutral	contradiction	neutral	contradiction	contradiction	contradiction	369
contradiction	entailment	entailment	entailment	entailment	neutral	370
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	371
entailment	neutral	neutral	neutral	contradiction	entailment	372
contradiction	entailment	contradiction	entailment	contradiction	contradiction	376
entailment	neutral	contradiction	entailment	entailment	contradiction	377
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	378
neutral	contradiction	contradiction	contradiction	entailment	neutral	379
entailment	neutral	neutral	neutral	neutral	neutral	380
contradiction	entailment	entailment	entailment	entailment	entailment	381
contradiction	entailment	entailment	entailment	contradiction	contradiction	382
entailment	contradiction	contradiction	contradiction	contradiction	neutral	383
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	384
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	391
entailment	neutral	neutral	neutral	entailment	contradiction	392
contradiction	entailment	entailment	entailment	neutral	entailment	393
contradiction	entailment	entailment	entailment	entailment	entailment	397
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	398
entailment	neutral	contradiction	neutral	contradiction	contradiction	399
entailment	contradiction	contradiction	contradiction	contradiction	neutral	400
neutral	neutral	contradiction	neutral	entailment	neutral	401
contradiction	entailment	entailment	entailment	entailment	entailment	402
neutral	contradiction	contradiction	contradiction	contradiction	entailment	409
entailment	neutral	neutral	neutral	neutral	entailment	410
contradiction	entailment	entailment	entailment	entailment	entailment	411
entailment	neutral	neutral	neutral	neutral	contradiction	415
neutral	contradiction	entailment	entailment	contradiction	contradiction	416
contradiction	entailment	entailment	entailment	entailment	entailment	417
contradiction	entailment	entailment	entailment	entailment	entailment	418
neutral	contradiction	contradiction	entailment	contradiction	contradiction	419
entailment	neutral	contradiction	entailment	contradiction	contradiction	420
contradiction	entailment	contradiction	entailment	entailment	contradiction	421
neutral	contradiction	contradiction	neutral	entailment	entailment	422
entailment	neutral	neutral	neutral	entailment	entailment	423
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	424
contradiction	entailment	entailment	entailment	contradiction	entailment	425
entailment	neutral	neutral	neutral	contradiction	neutral	426
entailment	neutral	neutral	neutral	neutral	neutral	427
contradiction	entailment	entailment	entailment	entailment	contradiction	428
neutral	contradiction	contradiction	contradiction	entailment	contradiction	429
neutral	contradiction	contradiction	entailment	contradiction	contradiction	430
entailment	neutral	neutral	neutral	neutral	contradiction	431
contradiction	entailment	entailment	entailment	entailment	entailment	432
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	436
contradiction	entailment	entailment	entailment	entailment	entailment	437
entailment	neutral	neutral	neutral	neutral	contradiction	438
neutral	contradiction	contradiction	contradiction	contradiction	entailment	439
entailment	contradiction	neutral	contradiction	entailment	contradiction	440
contradiction	contradiction	entailment	contradiction	entailment	entailment	441
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	442
contradiction	entailment	entailment	entailment	contradiction	entailment	443
entailment	neutral	neutral	neutral	entailment	contradiction	444
contradiction	entailment	entailment	entailment	entailment	entailment	445
neutral	contradiction	contradiction	contradiction	entailment	contradiction	446
entailment	neutral	neutral	neutral	neutral	neutral	447
contradiction	entailment	entailment	entailment	entailment	entailment	448
entailment	neutral	contradiction	contradiction	contradiction	contradiction	449
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	450
contradiction	entailment	entailment	contradiction	entailment	entailment	451
entailment	neutral	neutral	entailment	contradiction	neutral	452
neutral	contradiction	contradiction	contradiction	entailment	contradiction	453
entailment	neutral	neutral	neutral	contradiction	contradiction	454
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	455
contradiction	entailment	entailment	entailment	contradiction	entailment	456
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	457
entailment	neutral	contradiction	neutral	contradiction	neutral	458
contradiction	entailment	entailment	entailment	entailment	entailment	459
contradiction	entailment	entailment	entailment	contradiction	contradiction	460
neutral	contradiction	contradiction	contradiction	contradiction	entailment	461
entailment	contradiction	contradiction	contradiction	contradiction	entailment	462
entailment	neutral	contradiction	contradiction	contradiction	contradiction	463
contradiction	entailment	entailment	entailment	contradiction	entailment	464
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	465
contradiction	entailment	entailment	entailment	contradiction	contradiction	466
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	467
entailment	neutral	neutral	neutral	neutral	neutral	468
contradiction	entailment	entailment	entailment	neutral	entailment	469
entailment	neutral	neutral	neutral	neutral	neutral	470
neutral	contradiction	contradiction	entailment	contradiction	contradiction	471
contradiction	entailment	entailment	entailment	entailment	entailment	475
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	476
entailment	entailment	entailment	entailment	contradiction	contradiction	477
entailment	entailment	neutral	entailment	neutral	neutral	481
contradiction	entailment	entailment	entailment	entailment	entailment	482
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	483
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	487
contradiction	entailment	entailment	entailment	entailment	entailment	488
entailment	neutral	contradiction	neutral	entailment	contradiction	489
neutral	contradiction	contradiction	contradiction	contradiction	entailment	490
entailment	neutral	entailment	contradiction	contradiction	entailment	491
contradiction	entailment	entailment	entailment	entailment	contradiction	492
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	496
entailment	neutral	neutral	neutral	neutral	entailment	497
contradiction	entailment	entailment	entailment	entailment	entailment	498
neutral	contradiction	contradiction	contradiction	entailment	contradiction	499
entailment	neutral	neutral	neutral	entailment	entailment	500
contradiction	entailment	entailment	entailment	entailment	contradiction	501
contradiction	entailment	entailment	entailment	entailment	entailment	502
entailment	neutral	neutral	entailment	entailment	neutral	503
neutral	contradiction	contradiction	entailment	contradiction	contradiction	504
entailment	contradiction	contradiction	neutral	contradiction	contradiction	508
contradiction	entailment	entailment	entailment	entailment	entailment	509
neutral	contradiction	contradiction	contradiction	neutral	entailment	510
neutral	neutral	entailment	entailment	entailment	entailment	511
entailment	neutral	entailment	entailment	entailment	entailment	512
contradiction	entailment	entailment	entailment	entailment	contradiction	513
entailment	entailment	neutral	entailment	contradiction	contradiction	514
neutral	contradiction	contradiction	contradiction	contradiction	entailment	515
contradiction	entailment	entailment	entailment	entailment	entailment	516
entailment	neutral	neutral	neutral	neutral	contradiction	520
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	521
contradiction	entailment	entailment	entailment	contradiction	contradiction	522
entailment	neutral	neutral	neutral	neutral	contradiction	526
neutral	contradiction	contradiction	contradiction	entailment	contradiction	527
contradiction	entailment	entailment	entailment	entailment	entailment	528
contradiction	entailment	entailment	contradiction	entailment	contradiction	529
neutral	entailment	contradiction	contradiction	contradiction	contradiction	530
entailment	neutral	entailment	contradiction	contradiction	contradiction	531
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	532
entailment	neutral	neutral	entailment	contradiction	contradiction	533
contradiction	entailment	entailment	entailment	entailment	contradiction	534
contradiction	entailment	entailment	contradiction	entailment	entailment	535
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	536
entailment	neutral	neutral	neutral	contradiction	contradiction	537
contradiction	entailment	entailment	entailment	contradiction	entailment	547
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	548
entailment	neutral	neutral	neutral	contradiction	neutral	549
contradiction	entailment	entailment	entailment	contradiction	entailment	556
neutral	contradiction	contradiction	contradiction	contradiction	entailment	557
entailment	neutral	entailment	contradiction	neutral	entailment	558
neutral	contradiction	entailment	contradiction	contradiction	contradiction	559
entailment	neutral	entailment	entailment	contradiction	neutral	560
contradiction	entailment	entailment	entailment	entailment	entailment	561
neutral	contradiction	contradiction	entailment	contradiction	contradiction	562
entailment	neutral	neutral	entailment	contradiction	neutral	563
contradiction	entailment	entailment	entailment	entailment	entailment	564
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	565
entailment	neutral	neutral	neutral	neutral	contradiction	566
contradiction	entailment	entailment	entailment	contradiction	entailment	567
contradiction	entailment	entailment	entailment	entailment	entailment	568
entailment	neutral	entailment	neutral	contradiction	contradiction	569
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	570
entailment	neutral	neutral	neutral	neutral	contradiction	571
neutral	contradiction	contradiction	neutral	contradiction	contradiction	572
contradiction	entailment	neutral	entailment	entailment	entailment	573
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	574
entailment	neutral	neutral	neutral	contradiction	neutral	575
contradiction	entailment	entailment	entailment	entailment	entailment	576
entailment	contradiction	entailment	contradiction	contradiction	contradiction	577
contradiction	contradiction	entailment	contradiction	entailment	contradiction	578
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	579
neutral	contradiction	contradiction	contradiction	contradiction	entailment	580
contradiction	entailment	entailment	entailment	entailment	entailment	581
entailment	contradiction	neutral	contradiction	neutral	contradiction	582
neutral	contradiction	contradiction	contradiction	entailment	entailment	583
entailment	neutral	neutral	neutral	entailment	neutral	584
contradiction	entailment	entailment	entailment	entailment	entailment	585
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	586
entailment	neutral	contradiction	neutral	neutral	entailment	587
contradiction	entailment	entailment	entailment	entailment	contradiction	588
contradiction	entailment	entailment	entailment	entailment	entailment	592
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	593
entailment	neutral	neutral	neutral	neutral	neutral	594
entailment	neutral	neutral	neutral	neutral	contradiction	595
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	596
contradiction	entailment	entailment	entailment	entailment	contradiction	597
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	598
contradiction	entailment	entailment	entailment	entailment	contradiction	599
entailment	contradiction	entailment	entailment	contradiction	entailment	600
entailment	neutral	contradiction	entailment	entailment	contradiction	604
neutral	entailment	entailment	contradiction	contradiction	contradiction	605
contradiction	entailment	entailment	entailment	entailment	contradiction	606
entailment	neutral	neutral	neutral	entailment	entailment	610
neutral	contradiction	contradiction	contradiction	contradiction	entailment	611
contradiction	entailment	entailment	entailment	entailment	entailment	612
contradiction	entailment	entailment	entailment	entailment	entailment	613
entailment	neutral	contradiction	contradiction	contradiction	contradiction	614
neutral	contradiction	contradiction	contradiction	contradiction	entailment	615
contradiction	entailment	entailment	entailment	entailment	entailment	616
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	617
entailment	neutral	neutral	contradiction	contradiction	contradiction	618
contradiction	entailment	entailment	entailment	entailment	entailment	619
entailment	contradiction	contradiction	contradiction	contradiction	contradiction	620
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	621
neutral	contradiction	contradiction	contradiction	entailment	contradiction	625
entailment	neutral	neutral	neutral	entailment	neutral	626
contradiction	entailment	entailment	entailment	contradiction	entailment	627
neutral	contradiction	contradiction	contradiction	contradiction	entailment	631
contradiction	entailment	entailment	entailment	entailment	entailment	632
entailment	neutral	neutral	neutral	contradiction	entailment	633
neutral	contradiction	contradiction	contradiction	contradiction	entailment	637
contradiction	entailment	entailment	entailment	contradiction	entailment	638
entailment	neutral	neutral	entailment	entailment	entailment	639
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	643
contradiction	entailment	entailment	entailment	entailment	entailment	644
entailment	neutral	neutral	neutral	neutral	contradiction	645
contradiction	entailment	entailment	entailment	entailment	entailment	652
entailment	neutral	contradiction	contradiction	neutral	entailment	653
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	654
entailment	neutral	neutral	neutral	contradiction	contradiction	655
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	656
contradiction	entailment	entailment	entailment	entailment	contradiction	657
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	658
entailment	neutral	entailment	neutral	entailment	contradiction	659
contradiction	entailment	entailment	entailment	contradiction	entailment	660
entailment	neutral	neutral	neutral	neutral	entailment	661
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	662
contradiction	entailment	entailment	entailment	entailment	entailment	663
entailment	neutral	neutral	neutral	entailment	contradiction	664
contradiction	entailment	entailment	entailment	entailment	entailment	665
neutral	contradiction	contradiction	contradiction	contradiction	entailment	666
entailment	neutral	neutral	neutral	contradiction	contradiction	667
contradiction	entailment	entailment	entailment	entailment	entailment	668
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	669
contradiction	entailment	contradiction	entailment	entailment	contradiction	670
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	671
entailment	neutral	neutral	contradiction	contradiction	neutral	672
neutral	contradiction	contradiction	entailment	entailment	contradiction	673
entailment	neutral	neutral	entailment	entailment	neutral	674
contradiction	entailment	entailment	entailment	neutral	entailment	675
entailment	neutral	contradiction	contradiction	contradiction	contradiction	676
contradiction	entailment	contradiction	entailment	contradiction	contradiction	677
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	678
neutral	contradiction	contradiction	contradiction	contradiction	entailment	679
contradiction	entailment	entailment	entailment	entailment	contradiction	680
entailment	neutral	neutral	neutral	entailment	contradiction	681
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	682
contradiction	entailment	contradiction	entailment	entailment	contradiction	683
entailment	contradiction	contradiction	contradiction	contradiction	contradiction	684
entailment	contradiction	neutral	neutral	entailment	entailment	685
contradiction	entailment	entailment	entailment	entailment	contradiction	686
neutral	contradiction	contradiction	contradiction	entailment	entailment	687
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	688
entailment	neutral	neutral	contradiction	entailment	contradiction	689
contradiction	entailment	entailment	entailment	entailment	contradiction	690
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	694
entailment	neutral	neutral	neutral	neutral	contradiction	695
contradiction	entailment	entailment	entailment	entailment	entailment	696
contradiction	entailment	entailment	entailment	entailment	entailment	700
neutral	contradiction	contradiction	contradiction	contradiction	entailment	701
entailment	neutral	contradiction	neutral	neutral	neutral	702
entailment	neutral	contradiction	contradiction	neutral	neutral	706
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	707
contradiction	entailment	entailment	entailment	entailment	contradiction	708
contradiction	entailment	entailment	entailment	entailment	entailment	709
entailment	neutral	neutral	neutral	contradiction	contradiction	710
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	711
entailment	neutral	neutral	neutral	entailment	neutral	712
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	713
contradiction	entailment	entailment	entailment	contradiction	entailment	714
entailment	neutral	neutral	neutral	neutral	neutral	724
contradiction	entailment	entailment	entailment	entailment	entailment	725
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	726
neutral	contradiction	contradiction	entailment	contradiction	entailment	730
entailment	contradiction	contradiction	contradiction	contradiction	entailment	731
contradiction	entailment	contradiction	contradiction	contradiction	entailment	732
