gold_label	English	German	Spanish	Swahili	Urdu	pairID
entailment	entailment	neutral	entailment	entailment	neutral	120
neutral	neutral	contradiction	neutral	neutral	contradiction	127
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	128
entailment	entailment	neutral	neutral	contradiction	contradiction	129
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	130
entailment	entailment	entailment	entailment	entailment	entailment	132
entailment	contradiction	neutral	neutral	contradiction	neutral	133
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	134
neutral	neutral	contradiction	neutral	neutral	neutral	135
contradiction	neutral	neutral	neutral	neutral	contradiction	144
contradiction	contradiction	neutral	neutral	neutral	neutral	148
neutral	neutral	contradiction	neutral	neutral	contradiction	149
entailment	entailment	neutral	neutral	neutral	entailment	150
neutral	neutral	neutral	neutral	neutral	neutral	154
entailment	entailment	neutral	entailment	neutral	neutral	155
contradiction	neutral	neutral	neutral	neutral	neutral	156
entailment	contradiction	neutral	neutral	neutral	contradiction	164
neutral	neutral	neutral	neutral	neutral	neutral	166
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	167
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	175
neutral	neutral	neutral	neutral	neutral	neutral	176
entailment	entailment	entailment	entailment	neutral	entailment	177
entailment	neutral	neutral	contradiction	neutral	neutral	178
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	179
neutral	neutral	neutral	neutral	neutral	neutral	180
neutral	neutral	neutral	neutral	neutral	neutral	181
entailment	entailment	entailment	entailment	neutral	neutral	182
neutral	neutral	neutral	neutral	neutral	neutral	184
entailment	entailment	entailment	entailment	neutral	neutral	185
neutral	neutral	neutral	neutral	neutral	neutral	196
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	197
entailment	entailment	entailment	entailment	entailment	entailment	198
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	199
entailment	neutral	contradiction	contradiction	neutral	contradiction	200
neutral	neutral	neutral	neutral	neutral	neutral	201
neutral	neutral	neutral	neutral	neutral	neutral	202
entailment	entailment	entailment	entailment	contradiction	neutral	204
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	205
entailment	entailment	entailment	entailment	neutral	neutral	206
neutral	neutral	neutral	neutral	neutral	neutral	207
entailment	entailment	neutral	neutral	contradiction	contradiction	208
neutral	neutral	neutral	neutral	contradiction	contradiction	209
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	210
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	211
neutral	neutral	neutral	neutral	neutral	neutral	212
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	214
entailment	entailment	entailment	entailment	entailment	entailment	215
neutral	neutral	neutral	neutral	neutral	neutral	216
neutral	neutral	neutral	neutral	neutral	entailment	217
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	218
entailment	entailment	entailment	entailment	entailment	neutral	219
neutral	neutral	neutral	neutral	neutral	neutral	235
entailment	entailment	entailment	entailment	neutral	neutral	236
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	237
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	238
neutral	neutral	neutral	neutral	neutral	contradiction	239
entailment	entailment	entailment	entailment	neutral	contradiction	240
contradiction	contradiction	contradiction	contradiction	contradiction	entailment	241
neutral	neutral	neutral	contradiction	neutral	neutral	242
entailment	entailment	contradiction	entailment	contradiction	contradiction	245
neutral	neutral	neutral	neutral	neutral	contradiction	246
neutral	neutral	neutral	neutral	neutral	neutral	247
entailment	entailment	entailment	entailment	neutral	neutral	248
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	249
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	253
neutral	neutral	neutral	neutral	neutral	neutral	254
entailment	neutral	neutral	entailment	neutral	neutral	255
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	256
neutral	neutral	neutral	contradiction	neutral	neutral	257
entailment	entailment	entailment	entailment	neutral	contradiction	258
entailment	entailment	entailment	entailment	entailment	neutral	259
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	260
neutral	neutral	neutral	neutral	neutral	neutral	261
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	262
neutral	neutral	neutral	neutral	contradiction	neutral	263
entailment	entailment	entailment	entailment	neutral	neutral	264
neutral	neutral	neutral	neutral	contradiction	contradiction	268
entailment	entailment	entailment	entailment	entailment	contradiction	269
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	270
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	271
neutral	neutral	contradiction	neutral	contradiction	contradiction	272
entailment	entailment	entailment	entailment	entailment	contradiction	273
neutral	neutral	neutral	neutral	neutral	neutral	274
entailment	entailment	entailment	entailment	entailment	entailment	275
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	276
contradiction	contradiction	contradiction	contradiction	neutral	neutral	277
entailment	entailment	entailment	neutral	neutral	neutral	278
neutral	neutral	neutral	neutral	neutral	neutral	279
entailment	entailment	entailment	entailment	neutral	neutral	283
neutral	neutral	neutral	neutral	contradiction	neutral	284
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	285
entailment	entailment	entailment	entailment	contradiction	contradiction	292
neutral	neutral	entailment	neutral	contradiction	neutral	293
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	294
entailment	entailment	entailment	entailment	neutral	neutral	295
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	296
neutral	neutral	neutral	neutral	neutral	contradiction	297
entailment	neutral	entailment	neutral	neutral	contradiction	298
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	299
neutral	neutral	neutral	neutral	neutral	contradiction	300
entailment	entailment	entailment	entailment	neutral	neutral	302
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	303
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	304
neutral	neutral	contradiction	contradiction	neutral	contradiction	305
entailment	entailment	entailment	entailment	neutral	neutral	306
contradiction	contradiction	contradiction	neutral	contradiction	contradiction	307
entailment	entailment	entailment	entailment	entailment	entailment	308
neutral	neutral	neutral	neutral	neutral	contradiction	309
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	310
entailment	entailment	entailment	entailment	entailment	entailment	312
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	313
entailment	entailment	entailment	entailment	contradiction	contradiction	314
neutral	neutral	neutral	neutral	contradiction	contradiction	315
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	319
neutral	neutral	neutral	neutral	neutral	neutral	320
entailment	entailment	entailment	entailment	entailment	entailment	321
neutral	neutral	neutral	neutral	neutral	neutral	322
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	323
entailment	entailment	entailment	entailment	neutral	entailment	324
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	331
neutral	neutral	neutral	neutral	neutral	contradiction	332
entailment	entailment	entailment	neutral	entailment	neutral	333
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	334
entailment	entailment	entailment	entailment	contradiction	contradiction	336
entailment	entailment	entailment	entailment	entailment	entailment	337
neutral	neutral	neutral	neutral	neutral	neutral	338
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	339
neutral	neutral	neutral	neutral	neutral	contradiction	342
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	343
entailment	entailment	entailment	contradiction	entailment	contradiction	344
neutral	neutral	neutral	neutral	neutral	neutral	345
contradiction	contradiction	contradiction	neutral	neutral	neutral	352
entailment	entailment	entailment	neutral	entailment	contradiction	353
neutral	entailment	entailment	neutral	neutral	contradiction	354
contradiction	contradiction	entailment	contradiction	contradiction	contradiction	355
entailment	entailment	entailment	entailment	entailment	neutral	356
neutral	neutral	contradiction	contradiction	contradiction	contradiction	357
neutral	neutral	neutral	neutral	neutral	neutral	358
entailment	entailment	entailment	neutral	entailment	neutral	359
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	360
contradiction	contradiction	contradiction	entailment	neutral	entailment	367
neutral	neutral	entailment	neutral	neutral	neutral	369
neutral	neutral	neutral	neutral	neutral	neutral	371
entailment	entailment	entailment	entailment	entailment	neutral	372
contradiction	contradiction	neutral	contradiction	neutral	neutral	376
entailment	entailment	neutral	contradiction	contradiction	neutral	377
neutral	neutral	neutral	neutral	neutral	neutral	378
neutral	neutral	contradiction	contradiction	contradiction	entailment	379
entailment	entailment	entailment	entailment	contradiction	entailment	380
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	381
contradiction	contradiction	neutral	contradiction	neutral	neutral	382
entailment	entailment	contradiction	neutral	neutral	entailment	383
neutral	neutral	neutral	neutral	neutral	neutral	384
neutral	neutral	neutral	neutral	neutral	neutral	391
entailment	entailment	entailment	entailment	contradiction	entailment	392
contradiction	contradiction	contradiction	contradiction	entailment	contradiction	393
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	397
neutral	neutral	neutral	neutral	neutral	neutral	398
entailment	entailment	entailment	entailment	neutral	contradiction	399
entailment	entailment	entailment	entailment	neutral	entailment	400
neutral	entailment	entailment	entailment	contradiction	entailment	401
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	402
neutral	neutral	neutral	contradiction	neutral	neutral	409
entailment	entailment	entailment	entailment	entailment	neutral	410
entailment	entailment	entailment	entailment	entailment	neutral	415
neutral	neutral	neutral	contradiction	neutral	neutral	416
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	417
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	418
neutral	neutral	neutral	contradiction	neutral	entailment	419
entailment	entailment	neutral	contradiction	neutral	entailment	420
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	421
neutral	neutral	neutral	neutral	contradiction	contradiction	422
entailment	entailment	entailment	entailment	contradiction	contradiction	423
neutral	neutral	neutral	neutral	neutral	neutral	424
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	425
entailment	entailment	entailment	entailment	neutral	entailment	426
entailment	entailment	entailment	entailment	entailment	entailment	427
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	428
neutral	neutral	neutral	neutral	contradiction	neutral	429
neutral	neutral	neutral	contradiction	neutral	neutral	430
entailment	entailment	entailment	entailment	entailment	neutral	431
contradiction	contradiction	contradiction	contradiction	entailment	contradiction	432
neutral	neutral	neutral	neutral	neutral	neutral	436
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	437
entailment	entailment	entailment	entailment	entailment	neutral	438
neutral	neutral	neutral	neutral	contradiction	neutral	439
entailment	neutral	entailment	neutral	contradiction	neutral	440
contradiction	contradiction	contradiction	neutral	contradiction	neutral	441
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	443
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	445
neutral	neutral	neutral	neutral	contradiction	neutral	446
entailment	entailment	entailment	entailment	entailment	entailment	447
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	448
entailment	entailment	contradiction	contradiction	contradiction	neutral	449
neutral	neutral	contradiction	neutral	neutral	neutral	450
contradiction	contradiction	contradiction	neutral	neutral	entailment	451
entailment	entailment	entailment	contradiction	neutral	entailment	452
neutral	neutral	entailment	neutral	contradiction	neutral	453
entailment	entailment	entailment	entailment	neutral	neutral	454
neutral	neutral	neutral	neutral	neutral	neutral	455
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	456
neutral	neutral	neutral	neutral	neutral	neutral	457
entailment	entailment	entailment	entailment	entailment	entailment	458
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	459
contradiction	contradiction	contradiction	contradiction	neutral	neutral	460
neutral	neutral	neutral	neutral	contradiction	neutral	461
entailment	neutral	neutral	neutral	neutral	contradiction	462
entailment	entailment	neutral	neutral	neutral	neutral	463
neutral	contradiction	neutral	neutral	neutral	contradiction	465
contradiction	contradiction	contradiction	contradiction	entailment	entailment	466
neutral	neutral	neutral	neutral	neutral	neutral	467
entailment	entailment	entailment	neutral	neutral	neutral	468
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	469
entailment	entailment	entailment	entailment	entailment	entailment	470
neutral	neutral	neutral	contradiction	contradiction	neutral	471
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	475
neutral	neutral	neutral	neutral	neutral	neutral	476
entailment	entailment	entailment	entailment	entailment	entailment	477
entailment	entailment	entailment	entailment	entailment	entailment	481
contradiction	contradiction	contradiction	contradiction	neutral	neutral	482
neutral	neutral	neutral	neutral	neutral	neutral	483
neutral	neutral	neutral	neutral	neutral	neutral	487
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	488
entailment	entailment	neutral	neutral	contradiction	neutral	489
neutral	neutral	neutral	neutral	contradiction	contradiction	490
entailment	entailment	entailment	contradiction	contradiction	contradiction	491
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	492
neutral	neutral	neutral	neutral	neutral	neutral	496
entailment	entailment	entailment	entailment	entailment	contradiction	497
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	498
neutral	neutral	neutral	neutral	neutral	contradiction	499
entailment	entailment	entailment	entailment	contradiction	contradiction	500
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	501
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	502
entailment	entailment	entailment	contradiction	contradiction	entailment	503
entailment	entailment	entailment	entailment	contradiction	contradiction	508
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	509
neutral	neutral	neutral	neutral	entailment	contradiction	510
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	511
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	513
neutral	neutral	neutral	neutral	neutral	contradiction	515
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	516
entailment	entailment	entailment	neutral	contradiction	neutral	520
neutral	neutral	neutral	neutral	neutral	neutral	521
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	522
entailment	entailment	entailment	entailment	entailment	contradiction	526
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	528
neutral	neutral	neutral	contradiction	neutral	neutral	532
entailment	entailment	entailment	contradiction	neutral	neutral	533
contradiction	contradiction	neutral	neutral	contradiction	contradiction	535
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	547
neutral	neutral	neutral	neutral	neutral	neutral	548
entailment	entailment	entailment	entailment	contradiction	entailment	549
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	556
neutral	neutral	neutral	neutral	neutral	contradiction	557
entailment	entailment	contradiction	entailment	neutral	contradiction	558
neutral	neutral	contradiction	neutral	neutral	neutral	559
entailment	entailment	contradiction	contradiction	contradiction	entailment	560
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	561
neutral	neutral	neutral	contradiction	neutral	neutral	562
entailment	entailment	entailment	entailment	contradiction	entailment	563
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	564
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	567
neutral	neutral	neutral	neutral	neutral	neutral	572
contradiction	contradiction	entailment	contradiction	contradiction	contradiction	573
neutral	neutral	neutral	neutral	neutral	neutral	574
entailment	entailment	entailment	entailment	neutral	entailment	575
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	576
entailment	neutral	neutral	neutral	neutral	neutral	577
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	578
neutral	neutral	neutral	neutral	neutral	neutral	579
neutral	neutral	neutral	neutral	neutral	contradiction	580
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	581
entailment	neutral	entailment	neutral	entailment	neutral	582
neutral	neutral	neutral	neutral	contradiction	contradiction	583
entailment	entailment	entailment	entailment	contradiction	entailment	584
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	585
neutral	neutral	neutral	neutral	neutral	neutral	586
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	588
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	592
neutral	neutral	neutral	neutral	neutral	neutral	593
entailment	entailment	entailment	entailment	entailment	entailment	594
entailment	entailment	entailment	entailment	entailment	neutral	595
neutral	neutral	neutral	neutral	neutral	neutral	596
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	597
neutral	neutral	neutral	neutral	neutral	neutral	598
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	599
entailment	neutral	contradiction	contradiction	neutral	neutral	600
entailment	entailment	neutral	entailment	neutral	neutral	604
neutral	neutral	neutral	neutral	neutral	neutral	605
contradiction	contradiction	contradiction	contradiction	neutral	neutral	606
entailment	entailment	entailment	entailment	neutral	contradiction	610
neutral	neutral	neutral	neutral	neutral	contradiction	611
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	612
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	616
entailment	entailment	entailment	entailment	neutral	neutral	618
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	619
entailment	neutral	neutral	neutral	neutral	neutral	620
neutral	neutral	neutral	neutral	neutral	neutral	621
entailment	entailment	entailment	entailment	contradiction	entailment	626
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	627
neutral	neutral	neutral	neutral	neutral	contradiction	631
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	632
entailment	entailment	entailment	entailment	contradiction	contradiction	633
neutral	neutral	neutral	neutral	neutral	contradiction	637
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	638
entailment	neutral	neutral	contradiction	contradiction	contradiction	639
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	644
entailment	entailment	entailment	entailment	entailment	neutral	645
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	652
entailment	entailment	entailment	neutral	entailment	neutral	653
neutral	neutral	neutral	neutral	neutral	neutral	654
entailment	entailment	entailment	entailment	neutral	entailment	655
neutral	neutral	neutral	neutral	neutral	neutral	656
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	657
neutral	neutral	neutral	neutral	neutral	neutral	658
entailment	entailment	contradiction	entailment	entailment	neutral	659
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	660
entailment	entailment	entailment	entailment	entailment	neutral	661
neutral	neutral	neutral	neutral	neutral	neutral	662
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	663
entailment	entailment	entailment	entailment	contradiction	neutral	664
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	665
neutral	neutral	neutral	neutral	contradiction	neutral	666
entailment	entailment	entailment	entailment	neutral	contradiction	667
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	668
contradiction	contradiction	contradiction	neutral	contradiction	neutral	670
neutral	neutral	neutral	neutral	neutral	neutral	671
entailment	neutral	neutral	neutral	neutral	entailment	672
neutral	neutral	neutral	contradiction	contradiction	neutral	673
entailment	entailment	entailment	contradiction	entailment	entailment	674
contradiction	contradiction	contradiction	contradiction	entailment	contradiction	675
entailment	entailment	neutral	neutral	neutral	neutral	676
contradiction	contradiction	neutral	contradiction	neutral	neutral	677
neutral	neutral	neutral	neutral	neutral	neutral	678
neutral	neutral	neutral	neutral	contradiction	neutral	682
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	683
entailment	neutral	neutral	entailment	neutral	neutral	684
entailment	neutral	entailment	entailment	neutral	entailment	685
contradiction	contradiction	entailment	contradiction	neutral	neutral	686
neutral	neutral	neutral	neutral	contradiction	neutral	687
neutral	neutral	neutral	contradiction	contradiction	neutral	688
entailment	entailment	contradiction	neutral	contradiction	neutral	689
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	690
neutral	neutral	neutral	neutral	neutral	neutral	694
entailment	entailment	entailment	entailment	entailment	neutral	695
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	696
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	700
neutral	neutral	neutral	neutral	neutral	neutral	701
entailment	entailment	neutral	entailment	entailment	entailment	702
entailment	entailment	neutral	neutral	entailment	entailment	706
neutral	neutral	neutral	neutral	neutral	neutral	707
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	708
contradiction	entailment	contradiction	neutral	contradiction	contradiction	709
entailment	entailment	entailment	entailment	entailment	neutral	710
neutral	neutral	neutral	neutral	neutral	neutral	711
entailment	entailment	entailment	entailment	contradiction	entailment	712
neutral	neutral	neutral	neutral	contradiction	contradiction	713
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	714
entailment	entailment	entailment	entailment	entailment	entailment	724
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	725
neutral	neutral	neutral	neutral	neutral	neutral	726
neutral	neutral	neutral	contradiction	neutral	contradiction	730
entailment	neutral	neutral	neutral	neutral	contradiction	731
contradiction	neutral	neutral	neutral	neutral	contradiction	732
entailment	neutral	contradiction	contradiction	neutral	neutral	736
neutral	neutral	neutral	neutral	neutral	neutral	737
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	738
neutral	neutral	neutral	neutral	neutral	neutral	742
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	743
entailment	entailment	entailment	entailment	contradiction	entailment	744
entailment	entailment	entailment	entailment	entailment	neutral	745
neutral	neutral	neutral	neutral	neutral	neutral	746
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	747
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	748
neutral	neutral	neutral	neutral	neutral	contradiction	749
entailment	entailment	neutral	contradiction	neutral	contradiction	750
neutral	entailment	neutral	entailment	contradiction	neutral	751
entailment	entailment	entailment	entailment	neutral	contradiction	753
entailment	entailment	entailment	entailment	entailment	contradiction	755
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	756
neutral	contradiction	contradiction	contradiction	neutral	contradiction	757
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	758
entailment	entailment	entailment	entailment	neutral	neutral	759
neutral	neutral	neutral	neutral	neutral	neutral	760
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	761
entailment	entailment	entailment	entailment	neutral	entailment	762
contradiction	contradiction	contradiction	entailment	contradiction	contradiction	763
neutral	neutral	neutral	neutral	neutral	neutral	764
entailment	entailment	entailment	entailment	neutral	contradiction	765
neutral	neutral	neutral	neutral	neutral	neutral	766
entailment	neutral	neutral	neutral	neutral	neutral	767
contradiction	contradiction	neutral	contradiction	neutral	contradiction	768
entailment	entailment	entailment	entailment	entailment	neutral	778
neutral	neutral	contradiction	contradiction	neutral	neutral	779
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	780
neutral	neutral	neutral	neutral	neutral	contradiction	781
contradiction	contradiction	contradiction	neutral	neutral	contradiction	782
entailment	entailment	entailment	entailment	neutral	contradiction	783
entailment	entailment	neutral	entailment	contradiction	neutral	784
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	786
entailment	entailment	contradiction	entailment	entailment	entailment	787
neutral	neutral	neutral	neutral	neutral	neutral	788
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	789
entailment	entailment	entailment	entailment	neutral	contradiction	790
neutral	neutral	neutral	neutral	neutral	neutral	791
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	792
neutral	neutral	neutral	neutral	neutral	entailment	798
contradiction	contradiction	contradiction	contradiction	neutral	neutral	802
neutral	neutral	neutral	neutral	neutral	neutral	803
entailment	entailment	contradiction	contradiction	contradiction	contradiction	804
entailment	entailment	neutral	neutral	neutral	entailment	808
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	809
neutral	neutral	neutral	neutral	entailment	neutral	810
neutral	neutral	neutral	neutral	neutral	contradiction	811
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	812
entailment	neutral	neutral	neutral	contradiction	neutral	813
entailment	entailment	entailment	neutral	entailment	neutral	814
neutral	neutral	contradiction	contradiction	contradiction	neutral	815
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	816
entailment	entailment	entailment	entailment	entailment	entailment	820
neutral	neutral	neutral	neutral	neutral	neutral	821
contradiction	contradiction	contradiction	contradiction	neutral	neutral	822
neutral	entailment	entailment	entailment	contradiction	neutral	823
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	824
entailment	entailment	entailment	entailment	contradiction	entailment	825
entailment	entailment	contradiction	entailment	contradiction	contradiction	830
