gold_label	sentence1	sentence2	pairID
contradiction	So, she's like, Well look, look up this in such and such company.	She didn't speak to me.	214
entailment	So, she's like, Well look, look up this in such and such company.	She told me to look something up.	215
neutral	So, she's like, Well look, look up this in such and such company.	She told me to look up their financing information.	216
neutral	He said that they had gone up North.	He said the made a few stops along the way.	217
contradiction	He said that they had gone up North.	He said they went down South.	218
entailment	He said that they had gone up North.	He said they went up North.	219
neutral	Um, no, to be honest, I never read any of the books I was supposed to.	I haven't read any books longer than 100 pages.	235
entailment	Um, no, to be honest, I never read any of the books I was supposed to.	I haven't read many books.	236
contradiction	Um, no, to be honest, I never read any of the books I was supposed to.	I read books every day.	237
contradiction	I go ahead and picked the baggage and went to the address I was supposed to.	I left the bag and figured it wasn't my problem.	238
neutral	I go ahead and picked the baggage and went to the address I was supposed to.	I took the bag to his apartment.	239
entailment	I go ahead and picked the baggage and went to the address I was supposed to.	I took the bag to where it belonged.	240
contradiction	It was an amazing mood swing.	Her mood stayed completely consistent.	241
neutral	It was an amazing mood swing.	She went from happy to sad.	242
entailment	They've, they chosen me over about 15 individuals there, to go to through that school and I'm not, I'm not.	I was picked to go to that school.	245
neutral	They've, they chosen me over about 15 individuals there, to go to through that school and I'm not, I'm not.	I was the most credible candidate.	246
neutral	They have to go through a number of altitude chambers, uh, rides before they start even flying U2's or flying with pressure suits.	Most people fail tests and never get to fly U2s.	247
entailment	They have to go through a number of altitude chambers, uh, rides before they start even flying U2's or flying with pressure suits.	They have to go through a lot of training before they fly U2's.	248
contradiction	They have to go through a number of altitude chambers, uh, rides before they start even flying U2's or flying with pressure suits.	They just let you fly U2s on the first day.	249
contradiction	I'm covering the same stuff.	I cover completely new material.	253
neutral	I'm covering the same stuff.	I cover the same stuff as the other magazines.	254
entailment	I'm covering the same stuff.	I'm talking about the same things they did.	255
contradiction	This was the first time that, that had happened in 75 years, that TX legislature had voted a military unit being TX Ambassadors, so, needed TX Ambassadors.	Military units aren't allowed to be TX Ambassadors.	256
neutral	This was the first time that, that had happened in 75 years, that TX legislature had voted a military unit being TX Ambassadors, so, needed TX Ambassadors.	The military unit was named TX Ambassadors to the US Congress.	257
entailment	This was the first time that, that had happened in 75 years, that TX legislature had voted a military unit being TX Ambassadors, so, needed TX Ambassadors.	The military unit was named TX Ambassadors.	258
entailment	If there was anything I could do.	I could do something.	259
contradiction	If there was anything I could do.	I knew there was nothing i could do.	260
neutral	If there was anything I could do.	I think I could have done something to save him.	261
contradiction	She hated that, and she used to tell her sister every day, she said that, that You are doing wrong.	She always encouraged her sister.	262
neutral	She hated that, and she used to tell her sister every day, she said that, that You are doing wrong.	She made it clear that her sister couldn't do anything right.	263
entailment	She hated that, and she used to tell her sister every day, she said that, that You are doing wrong.	She was very critical of her sister.	264
neutral	So I went to her house and then I called in to this number I was supposed to call when I got there.	I borrowed her phone to make the call.	268
entailment	So I went to her house and then I called in to this number I was supposed to call when I got there.	I called the number when I arrived at her house.	269
contradiction	So I went to her house and then I called in to this number I was supposed to call when I got there.	I was supposed to call, but I didn't.	270
contradiction	Well I get there this morning and um, I forget how, I think either I asked a question and he came in there or, whatever.	I didn't go today so I didn't see him.	271
neutral	Well I get there this morning and um, I forget how, I think either I asked a question and he came in there or, whatever.	I showed up at the gym today and he came in later and said hi.	272
entailment	Well I get there this morning and um, I forget how, I think either I asked a question and he came in there or, whatever.	I showed up this morning and he came, too.	273
neutral	We didn't know where they were going.	We didn't know where the group was traveling on the interstate.	274
entailment	We didn't know where they were going.	We didn't know where the people were traveling to.	275
contradiction	We didn't know where they were going.	we knew just where they were headed.	276
contradiction	But I was like, forget it, I'm going to eat lunch I was hungry.	I had no appetite at all.	277
entailment	But I was like, forget it, I'm going to eat lunch I was hungry.	I was hungry so i decided to eat my lunch.	278
neutral	But I was like, forget it, I'm going to eat lunch I was hungry.	I was starving so I went to the cafeteria.	279
entailment	So and let me tell you I got to the point today where I was about to quit.	I almost ended up quitting.	283
neutral	So and let me tell you I got to the point today where I was about to quit.	I had taken so much grief from them that I couldn't take it any more.	284
contradiction	So and let me tell you I got to the point today where I was about to quit.	It never entered my mind to quit.	285
entailment	He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.	He was born before 1900.	292
neutral	He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.	He was born in december of 1880.	293
contradiction	He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.	He wasn't born until 1984.	294
entailment	You'd better get the little screw turned down a little bit because you could damage and individual's lungs very easily.	That screw can hurt someone's lungs.	295
contradiction	You'd better get the little screw turned down a little bit because you could damage and individual's lungs very easily.	The screw carries no risks, so tighten it as much as you want.	296
neutral	You'd better get the little screw turned down a little bit because you could damage and individual's lungs very easily.	The screw goes into the trachea and can hurt the lungs.	297
entailment	I got orders to go to Del Rio, TX, so when I arrived out there, well, I found out I had to go to Laughlin Air Force Base.	I got sent to Del Rio, Texas for work.	298
contradiction	I got orders to go to Del Rio, TX, so when I arrived out there, well, I found out I had to go to Laughlin Air Force Base.	I have never been to texas.	299
neutral	I got orders to go to Del Rio, TX, so when I arrived out there, well, I found out I had to go to Laughlin Air Force Base.	The Air Force sent me to Del Rio, Tx in 2001.	300
entailment	Everybody gets champagne and some people don't drink it so what's left the kids drink so we were going around drinking all this champagne.	The kids drank some of the champagne.	302
contradiction	Everybody gets champagne and some people don't drink it so what's left the kids drink so we were going around drinking all this champagne.	The whole party was dry and no alcohol was served.	303
contradiction	There are many stories in the naked city.	I haven't heard any stories.	304
neutral	There are many stories in the naked city.	There are a lot of stories about the military.	305
entailment	There are many stories in the naked city.	There are a lot of stories that get told.	306
contradiction	You live and learn, you know, when you test, uh, aircraft.	I don't know anything about testing aircraft.	307
entailment	You live and learn, you know, when you test, uh, aircraft.	Testing aircraft teaches you a lot of lessons.	308
neutral	You live and learn, you know, when you test, uh, aircraft.	Testing aircraft teaches you how to handle pressure.	309
contradiction	I mean that was the whole point.	I don't understand the point.	310
entailment	I mean that was the whole point.	I understood the point.	312
contradiction	It was from a airbase that flew over Cuba, and of course Rudolph Anderson was shot down.	All of the planes survived without being shot at.	313
entailment	It was from a airbase that flew over Cuba, and of course Rudolph Anderson was shot down.	Something was shot down over Cuba.	314
neutral	It was from a airbase that flew over Cuba, and of course Rudolph Anderson was shot down.	The huge airliner was shot down over Cuba in May.	315
contradiction	It was probably the first thing I remember from being a little kid about, ah, especially about something that I'd done wrong.	I don't really have any memories of my childhood.	319
neutral	It was probably the first thing I remember from being a little kid about, ah, especially about something that I'd done wrong.	I still feel bad to this day.	320
entailment	It was probably the first thing I remember from being a little kid about, ah, especially about something that I'd done wrong.	It was one of my earliest memories.	321
neutral	They just didn't like what it was like being black in those days, and that was, you know, I guess, that, that was probably, you know, in the early 1930s, uh, when they did that.	It was hard to be black in the south.	322
contradiction	They just didn't like what it was like being black in those days, and that was, you know, I guess, that, that was probably, you know, in the early 1930s, uh, when they did that.	It was so easy to be black!	323
entailment	They just didn't like what it was like being black in those days, and that was, you know, I guess, that, that was probably, you know, in the early 1930s, uh, when they did that.	It wsa hard to be black back then.	324
contradiction	Nobody knew where they went.	Everyone knew exactly where they were going.	331
neutral	Nobody knew where they went.	No one knew what house they went into.	332
entailment	Nobody knew where they went.	Their destination was a secret.	333
contradiction	And they couldn't stay in the Augusta area because people knew that they had tried to do something that was really taboo and try to pass for white.	People had no clue that they weren't white people.	334
entailment	And they couldn't stay in the Augusta area because people knew that they had tried to do something that was really taboo and try to pass for white.	People were aware that they weren't white.	336
entailment	Yeah, well, the guy's here.	The guy is present.	337
neutral	Yeah, well, the guy's here.	The guy just showed up 2 minutes ago.	338
contradiction	Yeah, well, the guy's here.	The guy never came here.	339
neutral	We were watching something on TV.	We were watching the TV news.	342
contradiction	So anyhow, I think I spoke to Ramona again.	I have never talked to Ramona.	343
entailment	So anyhow, I think I spoke to Ramona again.	I talked to Ramona another time.	344
neutral	So anyhow, I think I spoke to Ramona again.	It was an enjoyable conversation.	345
contradiction	He was the only casualty of the Cuban Crisis, and uh, Kaiser uh, he got the pictures and flew straight to Andrews Air Force in Washington.	10000 people died in the Cuban Crisis.	352
entailment	He was the only casualty of the Cuban Crisis, and uh, Kaiser uh, he got the pictures and flew straight to Andrews Air Force in Washington.	Only one person died in the Cuban Crisis.	353
neutral	He was the only casualty of the Cuban Crisis, and uh, Kaiser uh, he got the pictures and flew straight to Andrews Air Force in Washington.	Only one person was killed in a crash in the Cuban Crisis.	354
contradiction	Um, and she said, she said, she said, Baby, she said, You don't understand about life the way I understand about life.	She said she was totally clueless.	355
entailment	Um, and she said, she said, she said, Baby, she said, You don't understand about life the way I understand about life.	She said that she knew more about life.	356
neutral	Um, and she said, she said, she said, Baby, she said, You don't understand about life the way I understand about life.	She told me I didn't have a clue how the real world worked and I should follow her.	357
neutral	Then I get it and I'm like great, What do I do with it?	I don't know how I was supposed to use the contraption.	358
entailment	Then I get it and I'm like great, What do I do with it?	I don't know what I was supposed to use it for.	359
contradiction	Then I get it and I'm like great, What do I do with it?	I knew just what to use it for!	360
contradiction	Just give me a minute if you want to cut it off, I'd, uh, go.	I am ready to go right now.	367
neutral	Just give me a minute if you want to cut it off, I'd, uh, go.	I need a minute to collect my thoughts.	369
neutral	So I went to, I went to Washington D.C. and I didn't go directly to, uh, that, uh, they had told me to on my orders.	I went to DC to see my supervisor.	371
entailment	So I went to, I went to Washington D.C. and I didn't go directly to, uh, that, uh, they had told me to on my orders.	I went to the nation's capital.	372
contradiction	She was a light-skinned black person.	She had incredibly dark skin.	376
entailment	She was a light-skinned black person.	She had light skin for an African-American person.	377
neutral	She was a light-skinned black person.	She was lighter than the rest of her black friends.	378
neutral	So anyway, Dad goes and makes this nice big glass of chocolate milk for me.	Dad got me some chocolate milk from the fridge.	379
entailment	So anyway, Dad goes and makes this nice big glass of chocolate milk for me.	Dad poured me a glass of milk.	380
contradiction	So anyway, Dad goes and makes this nice big glass of chocolate milk for me.	Dad said I wasn't allowed to have a drink.	381
contradiction	The DOT had to buy the property and stuff.	The DOT was able to find a different property that they could rent instead.	382
entailment	The DOT had to buy the property and stuff.	The property and equipment was purchased by the DOT.	383
neutral	The DOT had to buy the property and stuff.	The property cost more than three million dollars for the DOT to purchase.	384
neutral	He would have been born	He was supposed to be born on December 2010.	391
entailment	He would have been born	He was supposed to be born.	392
contradiction	He would have been born	He wasn't supposed to be born.	393
contradiction	I'm like, I know how far I've gotten.	I told them I didn't know what I was doing.	397
neutral	I'm like, I know how far I've gotten.	I told them I knew I had beat their expectations by 40%.	398
entailment	I'm like, I know how far I've gotten.	I told them I know what i've achieved.	399
entailment	OK, can you hear me?	Can you hear me right now?	400
neutral	OK, can you hear me?	Can you hear what I'm saying?	401
contradiction	OK, can you hear me?	I know you can't hear me.	402
neutral	Um, are there any, you said you don't remember reading anything in particular, like when you were older in school, were there any books that you read that you liked or hated?	DId you like Harry Potter books or no?	409
entailment	Um, are there any, you said you don't remember reading anything in particular, like when you were older in school, were there any books that you read that you liked or hated?	Did you like or hate certain books?	410
entailment	It's a little screw which set an injection but the, the breathing pressure tube to the pilot and counter pressure.	The screw affects the pressure.	415
neutral	It's a little screw which set an injection but the, the breathing pressure tube to the pilot and counter pressure.	The screw is tiny and silver.	416
contradiction	It's a little screw which set an injection but the, the breathing pressure tube to the pilot and counter pressure.	There are no screws, just buttons.	417
contradiction	She's like, Don't worry about it, you know, just take your time.	She told me i needed to hurry up right away.	418
neutral	She's like, Don't worry about it, you know, just take your time.	She told me it was fine if it took me hours to do it.	419
entailment	She's like, Don't worry about it, you know, just take your time.	She told me just to slow down.	420
contradiction	President Kennedy says to the pilots, says, Gentlemen you take good pictures.	Kennedy didnt acknowldge them.	421
neutral	President Kennedy says to the pilots, says, Gentlemen you take good pictures.	Kennedy spoke to the Air Force pilots.	422
entailment	President Kennedy says to the pilots, says, Gentlemen you take good pictures.	Kennedy talked to the pilots.	423
neutral	And I was like, I'm almost done.	I told him I would be done in 10 minutes.	424
contradiction	And I was like, I'm almost done.	I told him I'd never finish.	425
entailment	And I was like, I'm almost done.	I told them i was almost finished.	426
entailment	I tried to jot everything down.	I aimed to write things down.	427
contradiction	I tried to jot everything down.	I didn't bother to write anything down.	428
neutral	I tried to jot everything down.	I wrote down every work she said.	429
neutral	No, she was born in 1900 because she was 16, and so it must have been like in 1926, 19, you know, before, before 1930.	She was born January 1, 1900.	430
entailment	No, she was born in 1900 because she was 16, and so it must have been like in 1926, 19, you know, before, before 1930.	She was born at the turn of the century	431
contradiction	No, she was born in 1900 because she was 16, and so it must have been like in 1926, 19, you know, before, before 1930.	She wasn't born until 1943.	432
neutral	So it was just really interesting.	I was very interested in how much I could eat.	436
contradiction	So it was just really interesting.	I wasn't interested at all.	437
entailment	So it was just really interesting.	It was interesting to me.	438
neutral	Her sister could pass for white, and in fact did pass for white.	Her sister had the fairest skin of anyone in the neighborhood.	439
entailment	Her sister could pass for white, and in fact did pass for white.	Her sister was usually assumed to be white.	440
contradiction	Her sister could pass for white, and in fact did pass for white.	Sher sister was very dark.	441
contradiction	Well, he was almost, old enough to be her daddy.	He was much younger than her.	443
contradiction	That, I was the only 922 which was life support man the other man was a physiological support.	No one gave any sort of support.	445
neutral	That, I was the only 922 which was life support man the other man was a physiological support.	One man gave physiological support to the troops.	446
entailment	That, I was the only 922 which was life support man the other man was a physiological support.	One man gave physiological support.	447
contradiction	And here I am thinking he's going come in there and be like, you know, just have it out with me, you know, just tell me off like how could I not have this done.	I knew he wasn't going to come here at all.	448
entailment	And here I am thinking he's going come in there and be like, you know, just have it out with me, you know, just tell me off like how could I not have this done.	I thought he was coming here to fight.	449
neutral	And here I am thinking he's going come in there and be like, you know, just have it out with me, you know, just tell me off like how could I not have this done.	I thought he was going to complain about my tone.	450
contradiction	Well of, of course, needless to say, we had a, we could not make a mistake.	It's ok if we made a few errors.	451
entailment	Well of, of course, needless to say, we had a, we could not make a mistake.	We were not allowed to make a mistake.	452
neutral	Well of, of course, needless to say, we had a, we could not make a mistake.	We weren't allowed to spell anything incorrectly.	453
entailment	And, uh, but, uh, I would think, at night I couldn't sleep.	I had trouble sleeping at night.	454
neutral	And, uh, but, uh, I would think, at night I couldn't sleep.	I kept having bad dreams that kept me from sleeping.	455
contradiction	And, uh, but, uh, I would think, at night I couldn't sleep.	I sleep like a baby at night!	456
neutral	One thing that she really had as a great defense.	She could defend herself against wild dogs.	457
entailment	One thing that she really had as a great defense.	She could defend herself well.	458
contradiction	One thing that she really had as a great defense.	She was incredibly vulnerable.	459
contradiction	Um, as far as never being told--	He told he everything i needed to know	460
neutral	Um, as far as never being told--	I wasn't told anything about the safety protocol.	461
entailment	Um, as far as never being told--	Sometimes I'm not told.	462
entailment	So he, we lived in this area.	Our home was around here.	463
neutral	So he, we lived in this area.	Our home was two blocks away.	465
contradiction	And he's like talking all fast; he's on a cell phone.	He is speaking as slowly as he can.	466
neutral	And he's like talking all fast; he's on a cell phone.	He's talking on an iPhone.	467
entailment	And he's like talking all fast; he's on a cell phone.	He's talking on his cell phone.	468
contradiction	I can't remember what it was but I suddenly got really nervous that I was about to go to school for the first time and that was probably the most stressful day of my life.	I was really relaxed about starting school.	469
entailment	I can't remember what it was but I suddenly got really nervous that I was about to go to school for the first time and that was probably the most stressful day of my life.	I was worried about going to school	470
neutral	I can't remember what it was but I suddenly got really nervous that I was about to go to school for the first time and that was probably the most stressful day of my life.	I was worried about starting Kindergarten	471
contradiction	I was living, uh, right outside of St. Louis, between Jefferson City and St. Louis, MO.	I lived in Texas.	475
neutral	I was living, uh, right outside of St. Louis, between Jefferson City and St. Louis, MO.	I lived in a yellow house in Missouri.	476
entailment	I was living, uh, right outside of St. Louis, between Jefferson City and St. Louis, MO.	I was in Missouri.	477
entailment	I was reporting to a certain place in Del Rio, then I had to go to Laughlin Air Force Base, which had just re-opened.	The Laughlin Air Force Base closed for a while.	481
